,PC1,PC2,Unnamed: 0,Project
0,-10.366379340195515,-3.084472762826128,Intensity_QX01983,PXD014381
1,-10.364922768552875,-3.1259955828776587,Intensity_QX01981_160316090220,PXD014381
2,-10.318119107526233,-2.941216519019698,Intensity_QX01867,PXD014381
3,-10.26582683972323,-3.0120193516949243,Intensity_QX01870,PXD014381
4,-10.163331547575138,-3.1217066322823093,Intensity_QX01873,PXD014381
5,-10.387185313018508,-3.101718278790739,Intensity_QX01862,PXD014381
6,-10.438896832230489,-3.0561736049317454,Intensity_QX01865,PXD014381
7,-10.459212178871766,-3.055463477842879,Intensity_QX01868,PXD014381
8,-10.270803805721679,-3.224984524108271,Intensity_QX01984,PXD014381
9,-10.227378958788048,-3.14934796353929,Intensity_QX01874,PXD014381
10,-10.13254140726506,-2.9779614579185605,Intensity_QX01860,PXD014381
11,-10.447707710137804,-2.9562670362902264,Intensity_QX01863,PXD014381
12,-10.203618907359806,-2.8576245596037646,Intensity_QX01866,PXD014381
13,-10.453686003684533,-2.983855368861449,Intensity_QX01869,PXD014381
14,-10.132608752502778,-3.0436593032697936,Intensity_QX01872,PXD014381
15,-10.741810968151313,-1.7293760951781598,Intensity_111017-MCF10A-RFP-gal-to-gal-wcl-D1-07,PXD015122
16,-10.754550626891712,-2.418972551739142,Intensity_111017-MCF10A-RFP-gal-to-gal-wcl-D2-19,PXD015122
17,-10.623905739718378,-1.9925921305595844,Intensity_111717-MCF10A-RFP-gal-to-gal-wcl-JS-30ACN-D1-07,PXD015122
18,-10.608490155594282,-1.6751822666349392,Intensity_111717-MCF10A-RFP-gal-to-gal-wcl-JS-30ACN-D2-19,PXD015122
19,-10.99901152033751,-2.566737168464869,Intensity_111017-MCF10A-RFP-glu-to-glu-wcl-D1-02,PXD015122
20,-10.873132609363715,-2.746551460802046,Intensity_111017-MCF10A-RFP-glu-to-glu-wcl-D2-14,PXD015122
21,-10.603719210089322,-2.148052433292028,Intensity_111717-MCF10A-RFP-glu-to-glu-wcl-JS-30ACN-D1-02,PXD015122
22,-10.782889680845246,-2.0467090806983417,Intensity_111717-MCF10A-RFP-glu-to-glu-wcl-JS-30ACN-D2-14,PXD015122
23,-10.886021417424669,-2.2521334706123435,Intensity_111017-MCF10A-RFP-glu-to-gal-wcl-D1-04,PXD015122
24,-10.926297982811493,-2.167261638035201,Intensity_111017-MCF10A-RFP-glu-to-gal-wcl-D2-16,PXD015122
25,-10.892612517362913,-2.3080543391359725,Intensity_111717-MCF10A-RFP-glu-to-gal-wcl-JS-30ACN-D1-04,PXD015122
26,-10.838891642803759,-2.3097325098089994,Intensity_111717-MCF10A-RFP-glu-to-gal-wcl-JS-30ACN-D2-16,PXD015122
27,-10.647193717672732,-2.3155023043030716,Intensity_111017-MCF10A-mAKT-gal-to-gal-wcl-D1-10,PXD015122
28,-10.766620074775322,-2.3861968040585078,Intensity_111017-MCF10A-mAKT-gal-to-gal-wcl-D2-22,PXD015122
29,-11.055410379458289,-2.582937231390368,Intensity_111717-MCF10A-mAKT-gal-to-gal-wcl-JS-30ACN-D1-10,PXD015122
30,-11.16542542115445,-2.5684379889340123,Intensity_111717-MCF10A-mAKT-gal-to-gal-wcl-JS-30ACN-D2-22,PXD015122
31,-10.848929311198424,-2.1359580230710997,Intensity_111017-MCF10A-mAKT-glu-to-glu-wcl-D1-06,PXD015122
32,-10.70607395630225,-2.4135687096545198,Intensity_111017-MCF10A-mAKT-glu-to-glu-wcl-D2-18,PXD015122
33,-10.99243458867076,-2.7049265481118816,Intensity_111717-MCF10A-mAKT-glu-to-glu-wcl-JS-30ACN-D1-06,PXD015122
34,-10.909443129949535,-2.6228651503388893,Intensity_111717-MCF10A-mAKT-glu-to-glu-wcl-JS-30ACN-D2-18,PXD015122
35,-10.722611743743167,-2.189306296589644,Intensity_111017-MCF10A-mAKT-glu-to-gal-wcl-D1-03,PXD015122
36,-10.553190138685496,-2.384550214146334,Intensity_111017-MCF10A-mAKT-glu-to-gal-wcl-D2-15,PXD015122
37,-10.842888079841272,-2.064030413062478,Intensity_111717-MCF10A-mAKT-glu-to-gal-wcl-JS-30ACN-D1-03,PXD015122
38,-10.753139801657433,-2.4705670580803747,Intensity_111717-MCF10A-mAKT-glu-to-gal-wcl-JS-30ACN-D2-15,PXD015122
39,-10.836139381005877,-2.233819643520061,Intensity_111017-MCF10A-MYC-gal-to-gal-wcl-D1-08,PXD015122
40,-10.766837175032443,-2.132757102623404,Intensity_111017-MCF10A-MYC-gal-to-gal-wcl-D2-20,PXD015122
41,-10.983665760635187,-2.095421815268636,Intensity_111717-MCF10A-MYC-gal-to-gal-wcl-JS-30ACN-D1-08,PXD015122
42,-10.945451235209347,-2.403886622725393,Intensity_111717-MCF10A-MYC-gal-to-gal-wcl-JS-30ACN-D2-20,PXD015122
43,-10.63778037557248,-2.0417742943392403,Intensity_111017-MCF10A-MYC-glu-to-glu-wcl-D1-05,PXD015122
44,-10.50812433545028,-2.180271964732106,Intensity_111017-MCF10A-MYC-glu-to-glu-wcl-D2-17,PXD015122
45,-11.200331746648088,-2.4113667326749515,Intensity_111717-MCF10A-MYC-glu-to-glu-wcl-JS-30ACN-D1-05,PXD015122
46,-11.156390203663886,-2.3863022535214053,Intensity_111717-MCF10A-MYC-glu-to-glu-wcl-JS-30ACN-D2-17,PXD015122
47,-10.754699070865783,-1.9578407139572729,Intensity_111017-MCF10A-MYC-glu-to-gal-wcl-D1-09,PXD015122
48,-10.688232000340783,-1.8332923881692877,Intensity_111017-MCF10A-MYC-glu-to-gal-wcl-D2-21,PXD015122
49,-10.519466579804416,-2.5922503556803864,Intensity_111717-MCF10A-MYC-glu-to-gal-wcl-JS-30ACN-D1-09,PXD015122
50,-10.559081007244172,-2.4138536101407047,Intensity_111717-MCF10A-MYC-glu-to-gal-wcl-JS-30ACN-D2-21,PXD015122
51,7.077881240772652,-0.9319385339210938,Intensity_1DLC012615QE_RRAG_014B_rep4,PXD012477
52,5.405182466886111,-1.0808482081985096,Intensity_1DLC121914QE_RRAG_029_rep4,PXD012477
53,6.196841967458801,-1.1262040591503026,Intensity_1DLC122214QE_RRAG_040_rep4,PXD012477
54,-1.671886841906743,-0.8372371711292843,Intensity_1DLC071515QE_RRAG_058B_rep2,PXD012477
55,5.537057206742513,-0.576984133328798,Intensity_1DLC121514QE_RRAG_019_rep2,PXD012477
56,6.097279060005221,-0.905438362312663,Intensity_1DLC123114QE_RRAG_064_rep4,PXD012477
57,6.820474212816093,-0.5111350723376878,Intensity_1DLC121514QE_RRAG_017_rep2,PXD012477
58,7.4215047070447095,0.9743452949226716,Intensity_1DLC122914QE_RRAG_059_rep4,PXD012477
59,6.5068051330845975,-0.3154136120641905,Intensity_1DLC122514QE_RRAG_045_rep4,PXD012477
60,-2.398943578902058,-1.528173555460232,Intensity_1DLC062715QE_RRAG_044B_rep4,PXD012477
61,-3.659526387489615,-1.2671623057337746,Intensity_1DLC051815QE_RRAG_029B_rep2,PXD012477
62,5.197126417593528,-1.1746431754234763,Intensity_1DLC123114QE_RRAG_062_rep4,PXD012477
63,-3.6743650396796492,-1.1993983037575862,Intensity_1DLC051815QE_RRAG_029B_rep3,PXD012477
64,4.59584740445532,0.42278272280668844,Intensity_1DLC120314QE_RRAG_008_rep2,PXD012477
65,5.481622189067083,-1.0970622259836942,Intensity_1DLC121414QE_RRAG_011_rep4,PXD012477
66,5.968052148933815,-0.7647812230402755,Intensity_1DLC121414QE_RRAG_016_rep1,PXD012477
67,-3.217252719904616,-1.6802533594347713,Intensity_1DLC060615QE_RRAG_037B_rep1,PXD012477
68,3.451902743889348,-0.5787465877338022,Intensity_1DLC120314QE_RRAG_001_rep1,PXD012477
69,-3.1013368839528823,-1.3255520943301273,Intensity_1DLC060615QE_RRAG_036B_rep3,PXD012477
70,6.286211799733275,-0.8706067461942647,Intensity_1DLC122514QE_RRAG_042_rep1,PXD012477
71,6.4381487746407355,0.6353262864075164,Intensity_1DLC012615QE_RRAG_007B_rep4,PXD012477
72,-3.191288607277919,-1.0609976489153277,Intensity_1DLC071515QE_RRAG_060B_rep3,PXD012477
73,5.93522877680965,-0.8085145505999388,Intensity_1DLC121514QE_RRAG_024_rep1,PXD012477
74,6.642805926955175,-1.336823834171602,Intensity_1DLC122214QE_RRAG_040_rep2,PXD012477
75,6.516846000467651,-0.3912149873201239,Intensity_1DLC122214QE_RRAG_039_rep4,PXD012477
76,7.2981137202670086,1.0376811418670455,Intensity_1DLC012615QE_RRAG_012B_rep2,PXD012477
77,-2.7599897830722275,-1.3804530894798732,Intensity_1DLC051815QE_RRAG_027B_rep3,PXD012477
78,-3.193497363465611,-0.9784524458327063,Intensity_1DLC060615QE_RRAG_031B_rep1,PXD012477
79,6.6651419029033585,-0.5794212748037803,Intensity_1DLC122514QE_RRAG_044_rep2,PXD012477
80,7.496626078845895,0.05954553063241874,Intensity_1DLC120314QE_RRAG_006_rep3,PXD012477
81,6.92257756349746,0.22297715379306202,Intensity_1DLC122914QE_RRAG_055_rep4,PXD012477
82,7.534689662927142,-0.39989429015283556,Intensity_1DLC122214QE_RRAG_034_rep1,PXD012477
83,-4.107146072066484,-1.0837116956688357,Intensity_1DLC060615QE_RRAG_031B_rep4,PXD012477
84,-4.118329703084648,-0.4670361089323283,Intensity_1DLC062715QE_RRAG_043B_rep3,PXD012477
85,5.021163333120449,-0.7776578906293592,Intensity_1DLC123114QE_RRAG_064_rep1,PXD012477
86,6.402305262390627,0.71677161930231,Intensity_1DLC121914QE_RRAG_030_rep4,PXD012477
87,6.908005124291068,-0.8238819541908193,Intensity_1DLC121514QE_RRAG_024_rep3,PXD012477
88,6.249302276223168,-1.964221549862198,Intensity_1DLC012615QE_RRAG_006B_rep4,PXD012477
89,-3.601946350191022,-1.3307329258391092,Intensity_1DLC052815QE_RRAG_024B_rep2,PXD012477
90,-4.552751405575722,-0.9506810532462757,Intensity_1DLC070815QE_RRAG_049B_rep2,PXD012477
91,5.396322768296248,-1.16058972819803,Intensity_1DLC121914QE_RRAG_025_rep4,PXD012477
92,-4.193014005076808,-0.020223358295483756,Intensity_1DLC051815QE_RRAG_026B_rep2,PXD012477
93,7.6137258594653785,-1.2734699959044897,Intensity_1DLC012615QE_RRAG_002B_rep3,PXD012477
94,7.403430312221577,0.5531330108180819,Intensity_1DLC122514QE_RRAG_041_rep1,PXD012477
95,6.780645261753711,-0.6286254087277509,Intensity_1DLC120314QE_RRAG_006_rep4,PXD012477
96,-4.130493839782956,-1.298727238170457,Intensity_1DLC052815QE_RRAG_025B_rep2,PXD012477
97,5.78604633604011,-0.7887332462203176,Intensity_1DLC122214QE_RRAG_037_rep3,PXD012477
98,6.217036290482446,-0.24593667922109358,Intensity_1DLC121414QE_RRAG_013_rep2,PXD012477
99,-3.7551292750894065,-1.3672929395931859,Intensity_1DLC051815QE_RRAG_019B_rep4,PXD012477
100,-4.0388750972276055,-0.815168019020006,Intensity_1DLC060615QE_RRAG_033B_rep2,PXD012477
101,6.263881846160526,-0.3418270103377334,Intensity_1DLC122914QE_RRAG_057_rep2,PXD012477
102,-3.4031462180804413,-0.8583598732561705,Intensity_1DLC062715QE_RRAG_043B_rep1,PXD012477
103,4.986485515221054,-1.3600563704968451,Intensity_1DLC122514QE_RRAG_052_rep1,PXD012477
104,2.7920382052439696,-0.2857633127267225,Intensity_1DLC120314QE_RRAG_003_rep2,PXD012477
105,-3.440126020356902,-0.8334895881657266,Intensity_1DLC061715QE_RRAG_038B_rep1,PXD012477
106,5.434346618819695,-1.1138448011348854,Intensity_1DLC123114QE_RRAG_062_rep3,PXD012477
107,-3.0462548283236965,-0.9423089212960947,Intensity_1DLC061715QE_RRAG_040B_rep3,PXD012477
108,6.453241617141987,-0.18179373290283793,Intensity_1DLC121514QE_RRAG_017_rep1,PXD012477
109,6.310874181573453,-0.305551901207801,Intensity_1DLC012615QE_RRAG_009B_rep2,PXD012477
110,-1.3875053233103356,-0.9618029849213163,Intensity_1DLC071015QE_RRAG_052B_rep1,PXD012477
111,-1.7927263374920661,-1.448670154030086,Intensity_1DLC071515QE_RRAG_056B_rep4,PXD012477
112,-4.16078431991068,-1.3100782574218768,Intensity_1DLC051815QE_RRAG_018B_rep1,PXD012477
113,-3.126310096918691,-1.5129770679960757,Intensity_1DLC052815QE_RRAG_024B_rep4,PXD012477
114,4.2238545444740625,0.06359423093168146,Intensity_1DLC120314QE_RRAG_006_rep1,PXD012477
115,6.870281569820312,-0.23841939914856022,Intensity_1DLC012615QE_RRAG_002B_rep1,PXD012477
116,-0.9845179917345711,-0.40153990720240973,Intensity_1DLC061715QE_RRAG_041B_rep4,PXD012477
117,-3.9589342488743244,-1.1385298347637167,Intensity_1DLC051815QE_RRAG_028B_rep3,PXD012477
118,-3.933977692305195,-0.8939448037150349,Intensity_1DLC052815QE_RRAG_025B_rep3,PXD012477
119,6.847251387885324,-1.535604376704102,Intensity_1DLC012615QE_RRAG_003B_rep3,PXD012477
120,6.856048003546844,-0.9308795362958311,Intensity_1DLC121914QE_RRAG_032_rep4,PXD012477
121,6.562149032626015,0.009833618843551623,Intensity_1DLC122914QE_RRAG_055_rep2,PXD012477
122,-5.117088047450212,-0.9774589452808361,Intensity_1DLC051815QE_RRAG_011B_rep1,PXD012477
123,-2.127887484893684,-1.2242461820204213,Intensity_1DLC062715QE_RRAG_047B_rep1,PXD012477
124,5.519334834546753,-0.41094157088069705,Intensity_1DLC122914QE_RRAG_057_rep3,PXD012477
125,6.347955619093275,-0.8335211060096122,Intensity_1DLC012615QE_RRAG_003B_rep1,PXD012477
126,-2.857135893537163,-0.9582132874367597,Intensity_1DLC051815QE_RRAG_019B_rep3,PXD012477
127,6.416033984537378,-1.3704782882075952,Intensity_1DLC012615QE_RRAG_005B_rep3,PXD012477
128,-2.2958270026237213,-1.1704647957087497,Intensity_1DLC071515QE_RRAG_061B_rep2,PXD012477
129,-3.2372998545915204,-1.3369856753438545,Intensity_1DLC051815QE_RRAG_023B_rep2,PXD012477
130,-1.6459863099937517,-1.2543795443421009,Intensity_1DLC071515QE_RRAG_058B_rep3,PXD012477
131,-3.5565827750757015,-1.5829098709790808,Intensity_1DLC051815QE_RRAG_023B_rep1,PXD012477
132,6.510350603914225,-0.8379350821745463,Intensity_1DLC122914QE_RRAG_056_rep3,PXD012477
133,7.230930328121204,-0.4138312026418629,Intensity_1DLC122514QE_RRAG_045_rep2,PXD012477
134,6.883247892452716,-0.8599410164373856,Intensity_1DLC120914QE_RRAG_009_rep4,PXD012477
135,6.051032863990223,-0.4623197294416516,Intensity_1DLC123114QE_RRAG_061_rep4,PXD012477
136,-2.0610982872475194,-1.6300719110485125,Intensity_1DLC062715QE_RRAG_047B_rep4,PXD012477
137,-2.916804952261112,-0.9300229608114797,Intensity_1DLC061715QE_RRAG_040B_rep1,PXD012477
138,-1.0680046902030844,-1.0749422507542903,Intensity_1DLC062715QE_RRAG_048B_rep4,PXD012477
139,7.426673955505854,-1.5860192336418346,Intensity_1DLC122214QE_RRAG_040_rep1,PXD012477
140,-2.8773468602871213,0.8101269704396307,Intensity_1DLC051815QE_RRAG_026B_rep4,PXD012477
141,6.963308190906592,0.5621075365957166,Intensity_1DLC121914QE_RRAG_030_rep2,PXD012477
142,6.615275487207869,-0.6416406563716592,Intensity_1DLC122214QE_RRAG_034_rep3,PXD012477
143,4.925796909619327,0.12790411081368303,Intensity_1DLC120314QE_RRAG_004_rep2,PXD012477
144,6.458156535791891,-0.7810002579664684,Intensity_1DLC122514QE_RRAG_051_rep2,PXD012477
145,-2.076348634847437,-0.8569371479137661,Intensity_1DLC060615QE_RRAG_030B_rep4,PXD012477
146,5.943313208871802,-0.846283887599903,Intensity_1DLC123114QE_RRAG_062_rep2,PXD012477
147,-3.8878949737087316,-1.0826885111346438,Intensity_1DLC051815QE_RRAG_028B_rep1,PXD012477
148,-3.948982314299293,-0.8873024498270433,Intensity_1DLC051815QE_RRAG_027B_rep1,PXD012477
149,-2.7770437692894143,-1.9360202208004764,Intensity_1DLC062715QE_RRAG_047B_rep2,PXD012477
150,5.690828955250976,-0.9723508783152883,Intensity_1DLC122914QE_RRAG_058_rep3,PXD012477
151,-3.535828203699347,-0.9425832587532683,Intensity_1DLC062715QE_RRAG_046B_rep1,PXD012477
152,7.900488128788642,0.33938584907679403,Intensity_1DLC122214QE_RRAG_038_rep1,PXD012477
153,6.453624430637574,-0.4785093462895096,Intensity_1DLC121914QE_RRAG_032_rep3,PXD012477
154,-1.1560865892510395,-0.28883086351728865,Intensity_1DLC061715QE_RRAG_041B_rep3,PXD012477
155,-1.247269260057902,-1.2956854110581262,Intensity_1DLC071015QE_RRAG_052B_rep3,PXD012477
156,-2.619319002290843,-1.3622681300797186,Intensity_1DLC071515QE_RRAG_064B_rep3,PXD012477
157,-3.660336730444023,-1.2395655305961955,Intensity_1DLC051815QE_RRAG_029B_rep4,PXD012477
158,5.483425091650687,-0.9259831898930562,Intensity_1DLC012615QE_RRAG_003B_rep4,PXD012477
159,7.723834143482842,0.7410554022422762,Intensity_1DLC123114QE_RRAG_053_rep2,PXD012477
160,-1.9762175692820423,-0.173231857019125,Intensity_1DLC071015QE_RRAG_055B_rep2,PXD012477
161,-1.07741940987121,-1.6461615278200963,Intensity_1DLC051815QE_RRAG_022B_rep3,PXD012477
162,4.043119246431323,-1.3679501081205663,Intensity_1DLC122914QE_RRAG_058_rep4,PXD012477
163,-2.9380144241898383,-1.4534711087678367,Intensity_1DLC062715QE_RRAG_046B_rep4,PXD012477
164,-3.103129098897303,-0.5490461318038423,Intensity_1DLC0080815QE_RRAG_002_rep2,PXD012477
165,7.139721629941443,0.14755035437672115,Intensity_1DLC012615QE_RRAG_007B_rep3,PXD012477
166,-5.2164849788979755,-1.898609243907137,Intensity_1DLC051815QE_RRAG_017B_rep3,PXD012477
167,5.959960434753421,-0.1284153469221395,Intensity_1DLC121414QE_RRAG_014_rep3,PXD012477
168,6.903769562652039,0.7814160957228037,Intensity_1DLC121914QE_RRAG_030_rep3,PXD012477
169,5.324177945573183,-0.5682410166452162,Intensity_1DLC121514QE_RRAG_019_rep1,PXD012477
170,-2.060390729658798,-0.7577885686484113,Intensity_1DLC071515QE_RRAG_058B_rep1,PXD012477
171,-2.1360934691130926,-0.7501351006987121,Intensity_1DLC071515QE_RRAG_060B_rep4,PXD012477
172,6.327434109126469,-0.5394056451808237,Intensity_1DLC122214QE_RRAG_037_rep1,PXD012477
173,5.483292205803324,-0.8147898118974053,Intensity_1DLC121414QE_RRAG_015_rep1,PXD012477
174,4.341797629827222,-0.13677816473591484,Intensity_1DLC120914QE_RRAG_010_rep2,PXD012477
175,-3.103800913583134,-1.100708993165949,Intensity_1DLC061715QE_RRAG_038B_rep3,PXD012477
176,5.680397006137876,-1.249448223160699,Intensity_1DLC123114QE_RRAG_061_rep2,PXD012477
177,6.534417056751954,-0.5781981418332485,Intensity_1DLC122914QE_RRAG_048_101414_rep1,PXD012477
178,5.98807871479221,-0.9070414723174237,Intensity_1DLC121514QE_RRAG_021_rep3,PXD012477
179,6.829567968849773,0.07228457584717658,Intensity_1DLC122514QE_RRAG_050_rep1,PXD012477
180,3.866266531744695,0.4444292976972177,Intensity_1DLC120314QE_RRAG_006_rep2,PXD012477
181,6.396437513307392,-0.6699170603208606,Intensity_1DLC122214QE_RRAG_034_rep4,PXD012477
182,-3.2871134489362195,0.4117273550071453,Intensity_1DLC051815QE_RRAG_026B_rep3,PXD012477
183,7.81074413805153,1.0696114793940512,Intensity_1DLC123114QE_RRAG_053_rep1,PXD012477
184,-1.9231284009218148,-1.363776406849766,Intensity_1DLC062715QE_RRAG_048B_rep1,PXD012477
185,-4.480412279240318,-1.7552383971849594,Intensity_1DLC051815QE_RRAG_021B_rep3,PXD012477
186,5.2788776490654925,-0.7132533441817968,Intensity_1DLC121514QE_RRAG_020_rep2,PXD012477
187,6.009758861767084,-0.5284296085372256,Intensity_1DLC121514QE_RRAG_024_rep2,PXD012477
188,6.054463545661969,-0.5144444981498009,Intensity_1DLC121914QE_RRAG_028_rep3,PXD012477
189,-0.20618745063012303,-0.6763489628139677,Intensity_1DLC071015QE_RRAG_053B_rep2,PXD012477
190,7.298003373106108,1.0411678803938673,Intensity_1DLC122914QE_RRAG_059_rep3,PXD012477
191,6.297889971037145,-0.4793294799263227,Intensity_1DLC121414QE_RRAG_013_rep4,PXD012477
192,6.644913654305225,-0.47945587216539215,Intensity_1DLC123114QE_RRAG_063_rep1,PXD012477
193,6.12896239487615,-0.7414151611569832,Intensity_1DLC122514QE_RRAG_046_rep2,PXD012477
194,-3.6539265170685304,-0.7533122827921623,Intensity_1DLC062715QE_RRAG_043B_rep2,PXD012477
195,6.742123910902879,0.054060855581724146,Intensity_1DLC120314QE_RRAG_005_rep4,PXD012477
196,5.459778413608096,-0.9426322748319588,Intensity_1DLC121514QE_RRAG_018_rep1,PXD012477
197,-3.528860980125747,-1.0465699159761288,Intensity_1DLC071515QE_RRAG_056B_rep1,PXD012477
198,5.8698976251743735,-1.0929335154740834,Intensity_1DLC012615QE_RRAG_016B_rep4,PXD012477
199,-1.697794510873913,-1.5227930579091473,Intensity_1DLC060615QE_RRAG_032B_rep3,PXD012477
200,3.529228266012401,-0.4970473953134704,Intensity_1DLC120314QE_RRAG_001_rep2,PXD012477
201,7.153267389561586,-0.20193891402335937,Intensity_1DLC123114QE_RRAG_063_rep4,PXD012477
202,-4.5342826285219875,-1.4782898094327568,Intensity_1DLC051815QE_RRAG_019B_rep1,PXD012477
203,7.840779035031721,0.4623069460541573,Intensity_1DLC120314QE_RRAG_008_rep3,PXD012477
204,7.520020222574729,0.16524695587334687,Intensity_1DLC123114QE_RRAG_053_rep3,PXD012477
205,3.574871825268812,0.10488852010170635,Intensity_1DLC120314QE_RRAG_005_rep2,PXD012477
206,-4.78319830498146,-1.0486600090269702,Intensity_1DLC051815QE_RRAG_011B_rep2,PXD012477
207,-3.6437395665168086,-1.5801731726600292,Intensity_1DLC071515QE_RRAG_062B_rep3,PXD012477
208,5.182452532371821,-0.8143152491936072,Intensity_1DLC121914QE_RRAG_031_rep1,PXD012477
209,6.694143215659662,0.5435372384737024,Intensity_1DLC122514QE_RRAG_041_rep4,PXD012477
210,6.09192070040122,-0.31697259829156305,Intensity_1DLC122514QE_RRAG_048_101314_rep2,PXD012477
211,5.834199094739182,0.3915938271480327,Intensity_1DLC122914QE_RRAG_055_rep1,PXD012477
212,5.441224835123784,-1.3328628186023768,Intensity_1DLC012615QE_RRAG_016B_rep3,PXD012477
213,-4.057380561783381,-1.140195273350467,Intensity_1DLC060615QE_RRAG_036B_rep2,PXD012477
214,7.229903958295945,-0.30410751130207,Intensity_1DLC120314QE_RRAG_005_rep3,PXD012477
215,5.458238576586303,-0.9762351657455602,Intensity_1DLC121914QE_RRAG_025_rep2,PXD012477
216,6.367911733868503,-0.660255827761218,Intensity_1DLC121414QE_RRAG_016_rep3,PXD012477
217,5.94408150833216,-0.3052118817324105,Intensity_1DLC012615QE_RRAG_001B_rep2,PXD012477
218,5.627869162494735,-0.6988356311127188,Intensity_1DLC122914QE_RRAG_057_rep4,PXD012477
219,5.506392545897233,-1.0631444702266541,Intensity_1DLC121914QE_RRAG_028_rep4,PXD012477
